sep=;
DATA PERBANDINGAN MENTAH - A1;;;;
Phase;Time SW (ms);Time HW (ms);Gain SW (dB);Gain HW (dB)
ATTACK PHASE;0,0;0,0;0,0;0,0
Steady State Start;303,875;303,47916667;-11,5267888;-11,52738252
Steady State End;550,0;550,0;-11,52778644;-11,52838122
10% Steady State;57,375;57,4375;-1,15391056;-1,15786462
90% Steady State;123,22916667;123,22916667;-10,3758446;-10,37569719
ATTACK TIME (sw);65,85416667;65,79166667;0,0;0,0
-----------------;;;;
RELEASE PHASE;550,0;550,0;-11,52778555;-11,52837425
Steady State Start;874,64583333;905,10416667;-0,02499447;-0,02492374
Steady State End;1250,0;1250,0;-6,54e-06;-0,02395633
10% Recovery;588,83333333;589,20833333;-10,37496696;-10,37531303
90% Recovery;703,20833333;704,125;-1,15250489;-1,15253225
Release TIME (sw);114,375;114,91666667;0,0;0,0

; ; ; ;
HASIL ANALISIS METRIK;;;;
Metrik;Nilai;;;
Attack Time Error (%);0,09490668;;;
Release Time Error (%);0,47358835;;;
SS Gain Error (dB);0,00059372;;;
MAE (dB);0,01457657;;;
RMSE (dB);0,01870918;;;
R2 Score;0,99998773;;;
