sep=;
DATA PERBANDINGAN MENTAH - B2;;;;
Phase;Time SW (ms);Time HW (ms);Gain SW (dB);Gain HW (dB)
ATTACK PHASE;0,0;0,0;0,0;0,0
Steady State Start;382,95833333;383,0;-11,21644923;-11,21639023
Steady State End;550,0;550,0;-11,2174486;-11,21738939
10% Steady State;62,41666667;62,4375;-1,12414171;-1,12503896
90% Steady State;140,02083333;140,02083333;-10,09575121;-10,09611381
ATTACK TIME (sw);77,60416667;77,58333333;0,0;0,0
-----------------;;;;
RELEASE PHASE;550,0;550,0;-11,21744803;-11,21738753
Steady State Start;908,04166667;938,60416667;-0,02499221;-0,02492374
Steady State End;1250,0;1250,0;-1,362e-05;-0,02395633
10% Recovery;598,22916667;598,77083333;-10,09545579;-10,09512356
90% Recovery;737,77083333;738,6875;-1,12126108;-1,12168926
Release TIME (sw);139,54166667;139,91666667;0,0;0,0

; ; ; ;
HASIL ANALISIS METRIK;;;;
Metrik;Nilai;;;
Attack Time Error (%);0,02684565;;;
Release Time Error (%);0,26873694;;;
SS Gain Error (dB);5,9e-05;;;
MAE (dB);0,01441661;;;
RMSE (dB);0,0184623;;;
R2 Score;0,99998705;;;
