sep=;
DATA PERBANDINGAN MENTAH - C3;;;;
Phase;Time SW (ms);Time HW (ms);Gain SW (dB);Gain HW (dB)
ATTACK PHASE;0,0;0,0;0,0;0,0
Steady State Start;717,47916667;706,875;-11,00020259;-11,00003399
Steady State End;850,0;850,0;-11,00120208;-11,00102975
10% Steady State;72,4375;72,4375;-1,10080742;-1,10021584
90% Steady State;265,60416667;265,54166667;-9,90116857;-9,9009561
ATTACK TIME (sw);193,16666667;193,10416667;0,0;0,0
-----------------;;;;
RELEASE PHASE;850,0;850,0;-11,00120204;-11,00102962
Steady State Start;1167,3125;1197,60416667;-0,0249937;-0,02492374
Steady State End;1550,0;1550,0;-5,57e-06;-0,02395633
10% Recovery;886,33333333;886,64583333;-9,89994332;-9,89989703
90% Recovery;997,875;998,89583333;-1,09964271;-1,09969283
Release TIME (sw);111,54166667;112,25;0,0;0,0

; ; ; ;
HASIL ANALISIS METRIK;;;;
Metrik;Nilai;;;
Attack Time Error (%);0,03235548;;;
Release Time Error (%);0,63503922;;;
SS Gain Error (dB);0,0001686;;;
MAE (dB);0,0114868;;;
RMSE (dB);0,01631112;;;
R2 Score;0,99998932;;;
