sep=;
DATA PERBANDINGAN MENTAH - D2;;;;
Phase;Time SW (ms);Time HW (ms);Gain SW (dB);Gain HW (dB)
ATTACK PHASE;0,0;0,0;0,0;0,0
Steady State Start;368,875;365,5;-11,00256972;-11,00249855
Steady State End;550,0;550,0;-11,00356795;-11,00348364
10% Steady State;62,3125;62,3125;-1,10269817;-1,10141584
90% Steady State;137,75;137,72916667;-9,90331721;-9,90319899
ATTACK TIME (sw);75,4375;75,41666667;0,0;0,0
-----------------;;;;
RELEASE PHASE;550,0;550,0;-11,0035672;-11,00347533
Steady State Start;991,20833333;1035,66666667;-0,02499968;-0,02495981
Steady State End;1250,0;1250,0;-0,0005638;-0,02395633
10% Recovery;592,29166667;592,625;-9,90272843;-9,90232042
90% Recovery;737,04166667;738,5;-1,10010183;-1,10006865
Release TIME (sw);144,75;145,875;0,0;0,0

; ; ; ;
HASIL ANALISIS METRIK;;;;
Metrik;Nilai;;;
Attack Time Error (%);0,02761668;;;
Release Time Error (%);0,77720207;;;
SS Gain Error (dB);7,117e-05;;;
MAE (dB);0,01410019;;;
RMSE (dB);0,01810469;;;
R2 Score;0,99998695;;;
