sep=;
DATA PERBANDINGAN MENTAH - E3;;;;
Phase;Time SW (ms);Time HW (ms);Gain SW (dB);Gain HW (dB)
ATTACK PHASE;0,0;0,0;0,0;0,0
Steady State Start;908,5;904,77083333;-9,86274147;-9,86247369
Steady State End;950,0;950,0;-9,86374111;-9,86346553
10% Steady State;97,54166667;97,5;-0,98675193;-0,98763101
90% Steady State;369,14583333;368,625;-8,87748203;-8,8772897
ATTACK TIME (sw);271,60416667;271,125;0,0;0,0
-----------------;;;;
RELEASE PHASE;950,0;950,0;-9,86374136;-9,86346854
Steady State Start;1253,08333333;1283,60416667;-0,02499848;-0,02492374
Steady State End;1650,0;1650,0;-4,07e-06;-0,02395633
10% Recovery;981,85416667;982,14583333;-8,87686989;-8,87696728
90% Recovery;1088,3125;1089,4375;-0,98634168;-0,98605529
Release TIME (sw);106,45833333;107,29166667;0,0;0,0

; ; ; ;
HASIL ANALISIS METRIK;;;;
Metrik;Nilai;;;
Attack Time Error (%);0,17642096;;;
Release Time Error (%);0,78277887;;;
SS Gain Error (dB);0,00026778;;;
MAE (dB);0,01181329;;;
RMSE (dB);0,01601926;;;
R2 Score;0,99998673;;;
