sep=;
DATA PERBANDINGAN MENTAH - F2;;;;
Phase;Time SW (ms);Time HW (ms);Gain SW (dB);Gain HW (dB)
ATTACK PHASE;0,0;0,0;0,0;0,0
Steady State Start;377,39583333;377,58333333;-11,12662975;-11,12671135
Steady State End;550,0;550,0;-11,12762667;-11,12769189
10% Steady State;62,375;62,39583333;-1,11554293;-1,11505725
90% Steady State;139,04166667;139,02083333;-10,01527665;-10,01496329
ATTACK TIME (sw);76,66666667;76,625;0,0;0,0
-----------------;;;;
RELEASE PHASE;550,0;550,0;-11,12762603;-11,12769879
Steady State Start;948,75;986,10416667;-0,02499633;-0,02492374
Steady State End;1250,0;1250,0;-0,00012522;-0,02395633
10% Recovery;596,10416667;596,58333333;-10,01415523;-10,01387721
90% Recovery;736,33333333;737,52083333;-1,11261822;-1,11256424
Release TIME (sw);140,22916667;140,9375;0,0;0,0

; ; ; ;
HASIL ANALISIS METRIK;;;;
Metrik;Nilai;;;
Attack Time Error (%);0,05434783;;;
Release Time Error (%);0,50512554;;;
SS Gain Error (dB);8,16e-05;;;
MAE (dB);0,01418902;;;
RMSE (dB);0,01820473;;;
R2 Score;0,99998717;;;
