sep=;
DATA PERBANDINGAN MENTAH - G2;;;;
Phase;Time SW (ms);Time HW (ms);Gain SW (dB);Gain HW (dB)
ATTACK PHASE;0,0;0,0;0,0;0,0
Steady State Start;558,9375;560,1875;-10,52184845;-10,52181367
Steady State End;750,0;750,0;-10,52284696;-10,52280658
10% Steady State;74,29166667;74,20833333;-1,05405253;-1,05244088
90% Steady State;217,5625;217,5;-9,47078199;-9,47090466
ATTACK TIME (sw);143,27083333;143,29166667;0,0;0,0
-----------------;;;;
RELEASE PHASE;750,0;750,0;-10,52284656;-10,52280822
Steady State Start;1061,08333333;1091,60416667;-0,02499553;-0,02492374
Steady State End;1450,0;1450,0;-4,86e-06;-0,02395633
10% Recovery;784,29166667;784,60416667;-9,46987573;-9,47025097
90% Recovery;893,54166667;894,54166667;-1,05202648;-1,05148999
Release TIME (sw);109,25;109,9375;0,0;0,0

; ; ; ;
HASIL ANALISIS METRIK;;;;
Metrik;Nilai;;;
Attack Time Error (%);0,01454123;;;
Release Time Error (%);0,62929062;;;
SS Gain Error (dB);3,478e-05;;;
MAE (dB);0,01241547;;;
RMSE (dB);0,01684302;;;
R2 Score;0,99998783;;;
