Input_dB;Output_dB_SW;Gain_Reduction_dB_SW;Output_dB_HW;Gain_Reduction_dB_HW;Metrik Analisis;Nilai
-59,3939;-59,3939;0,0;-59,4274;-0,0334;Avg Error Output (dB);0,020176
-58,7879;-58,7879;0,0;-58,9447;-0,1568;Max Error Output (dB);0,1568
-58,1818;-58,1818;0,0;-58,2675;-0,0857;MAE Output (dB);0,020176
-57,5758;-57,5758;0,0;-57,6394;-0,0636;RMSE Output (dB);0,038146
-56,9697;-56,9697;0,0;-57,0536;-0,0839;R2 Score Output;0,99999274
-56,3636;-56,3636;0,0;-56,5048;-0,1412;Avg Error GR (dB);0,020178
-55,7576;-55,7576;0,0;-55,8232;-0,0656;Max Error GR (dB);0,1568
-55,1515;-55,1515;0,0;-55,1912;-0,0397;;
-54,5455;-54,5455;0,0;-54,6021;-0,0567;;
-53,9394;-53,9394;0,0;-54,0505;-0,1111;;
-53,3333;-53,3333;0,0;-53,4068;-0,0734;;
-52,7273;-52,7273;0,0;-52,8075;-0,0802;;
-52,1212;-52,1212;0,0;-52,139;-0,0178;;
-51,5152;-51,5152;0,0;-51,5183;-0,0032;;
-50,9091;-50,9091;0,0;-50,9391;-0,03;;
-50,303;-50,303;0,0;-50,3087;-0,0057;;
-49,697;-49,697;0,0;-49,7211;-0,0241;;
-49,0909;-49,0909;0,0;-49,0948;-0,0039;;
-48,4848;-48,4848;0,0;-48,5106;-0,0258;;
-47,8788;-47,8788;0,0;-47,8973;-0,0185;;
-47,2727;-47,2727;0,0;-47,3244;-0,0516;;
-46,6667;-46,6667;0,0;-46,6719;-0,0052;;
-46,0606;-46,0606;0,0;-46,065;-0,0044;;
-45,4545;-45,4545;0,0;-45,4977;-0,0432;;
-44,8485;-44,8485;0,0;-44,8719;-0,0234;;
-44,2424;-44,2424;0,0;-44,2448;-0,0024;;
-43,6364;-43,6364;0,0;-43,66;-0,0236;;
-43,0303;-43,0303;0,0;-43,0365;-0,0062;;
-42,4242;-42,4242;0,0;-42,4548;-0,0306;;
-41,8182;-41,8182;0,0;-41,8438;-0,0256;;
-41,2121;-41,2121;0,0;-41,2424;-0,0302;;
-40,6061;-40,6061;0,0;-40,6227;-0,0167;;
-40,0;-40,0;0,0;-40,0178;-0,0178;;
-39,3939;-39,3939;0,0;-39,4026;-0,0087;;
-38,7879;-38,7879;0,0;-38,805;-0,0171;;
-38,1818;-38,1818;0,0;-38,2026;-0,0208;;
-37,5758;-37,5758;0,0;-37,579;-0,0032;;
-36,9697;-36,9697;0,0;-36,9784;-0,0087;;
-36,3636;-36,3636;0,0;-36,3641;-0,0005;;
-35,7576;-35,7576;0,0;-35,7579;-0,0003;;
-35,1515;-35,1515;0,0;-35,1608;-0,0093;;
-34,5455;-34,5455;0,0;-34,5595;-0,0141;;
-33,9394;-33,9394;0,0;-33,9442;-0,0048;;
-33,3333;-33,3333;0,0;-33,345;-0,0116;;
-32,7273;-32,7273;0,0;-32,7383;-0,011;;
-32,1212;-32,1212;0,0;-32,1283;-0,0071;;
-31,5152;-31,5152;0,0;-31,5183;-0,0032;;
-30,9091;-30,9091;0,0;-30,9111;-0,002;;
-30,303;-30,303;0,0;-30,3087;-0,0057;;
-29,697;-29,697;0,0;-29,7048;-0,0079;;
-29,0909;-29,0909;0,0;-29,0948;-0,0039;;
-28,4848;-28,4848;0,0;-28,4895;-0,0046;;
-27,8788;-27,8788;0,0;-27,8841;-0,0053;;
-27,2727;-27,2727;0,0;-27,2752;-0,0025;;
-26,6667;-26,6667;0,0;-26,6719;-0,0052;;
-26,0606;-26,0606;0,0;-26,065;-0,0044;;
-25,4545;-25,4545;0,0;-25,4579;-0,0034;;
-24,8485;-24,8485;0,0;-24,8487;-0,0002;;
-24,2424;-24,2424;0,0;-24,2448;-0,0024;;
-23,6364;-23,6364;0,0;-23,6398;-0,0034;;
-23,0303;-23,0303;0,0;-23,0327;-0,0024;;
-22,4242;-22,4242;0,0;-22,4267;-0,0025;;
-21,8182;-21,8182;0,0;-21,8209;-0,0027;;
-21,2121;-21,2121;0,0;-21,2149;-0,0028;;
-20,6061;-20,6061;0,0;-20,6085;-0,0024;;
-20,0;-20,0;0,0;-20,0019;-0,0019;;
-19,3939;-19,9219;-0,5279;-19,9227;-0,5287;;
-18,7879;-19,8389;-1,051;-19,8442;-1,0563;;
-18,1818;-19,7508;-1,569;-19,8442;-1,6624;;
-17,5758;-19,6573;-2,0815;-19,6562;-2,0804;;
-16,9697;-19,5582;-2,5885;-19,5574;-2,5877;;
-16,3636;-19,4531;-3,0895;-19,4522;-3,0886;;
-15,7576;-19,3418;-3,5843;-19,3409;-3,5834;;
-15,1515;-19,2241;-4,0726;-19,2238;-4,0723;;
-14,5455;-19,0996;-4,5541;-19,0986;-4,5532;;
-13,9394;-18,968;-5,0286;-18,9682;-5,0288;;
-13,3333;-18,8292;-5,4958;-18,8304;-5,4971;;
-12,7273;-18,6827;-5,9554;-18,6925;-5,9652;;
-12,1212;-18,5283;-6,4071;-18,6198;-6,4986;;
-11,5152;-18,3658;-6,8506;-18,3658;-6,8507;;
-10,9091;-18,1948;-7,2857;-18,194;-7,2849;;
-10,303;-18,0151;-7,7121;-18,015;-7,712;;
-9,697;-17,8265;-8,1296;-17,8272;-8,1302;;
-9,0909;-17,6288;-8,5379;-17,6293;-8,5384;;
-8,4848;-17,4216;-8,9367;-17,4219;-8,9371;;
-7,8788;-17,2048;-9,326;-17,204;-9,3253;;
-7,2727;-16,9782;-9,7054;-16,9784;-9,7056;;
-6,6667;-16,7416;-10,0749;-16,7511;-10,0845;;
-6,0606;-16,4948;-10,4342;-16,5849;-10,5243;;
-5,4545;-16,2378;-10,7833;-16,2377;-10,7832;;
-4,8485;-15,9704;-11,122;-15,9703;-11,1218;;
-4,2424;-15,6926;-11,4502;-15,6931;-11,4507;;
-3,6364;-15,4042;-11,7679;-15,4041;-11,7678;;
-3,0303;-15,1053;-12,075;-15,1048;-12,0745;;
-2,4242;-14,7958;-12,3716;-14,7951;-12,3708;;
-1,8182;-14,4758;-12,6576;-14,4763;-12,6581;;
-1,2121;-14,1452;-12,9331;-14,1459;-12,9337;;
-0,6061;-13,8042;-13,1981;-13,8132;-13,2071;;
0,0;-13,4528;-13,4528;-13,5406;-13,5406;;
