Input_dB;Output_dB_SW;Gain_Reduction_dB_SW;Output_dB_HW;Gain_Reduction_dB_HW;Metrik Analisis;Nilai
-59,3939;-53,3939;0,0;-53,4068;-0,0128;Avg Error Output (dB);0,018445
-58,7879;-52,7879;0,0;-52,9241;-0,1362;Max Error Output (dB);0,1362
-58,1818;-52,1818;0,0;-52,2469;-0,0651;MAE Output (dB);0,018445
-57,5758;-51,5758;0,0;-51,6188;-0,043;RMSE Output (dB);0,033744
-56,9697;-50,9697;0,0;-51,033;-0,0633;R2 Score Output;0,99999484
-56,3636;-50,3636;0,0;-50,4842;-0,1206;Avg Error GR (dB);0,018436
-55,7576;-49,7576;0,0;-49,8026;-0,045;Max Error GR (dB);0,1362
-55,1515;-49,1515;0,0;-49,1706;-0,0191;;
-54,5455;-48,5455;0,0;-48,5815;-0,0361;;
-53,9394;-47,9394;0,0;-48,0299;-0,0905;;
-53,3333;-47,3333;0,0;-47,3862;-0,0528;;
-52,7273;-46,7273;0,0;-46,7869;-0,0596;;
-52,1212;-46,1212;0,0;-46,1184;0,0028;;
-51,5152;-45,5152;0,0;-45,4977;0,0174;;
-50,9091;-44,9091;0,0;-44,9185;-0,0094;;
-50,303;-44,303;0,0;-44,2881;0,0149;;
-49,697;-43,697;0,0;-43,7411;-0,0442;;
-49,0909;-43,0909;0,0;-43,112;-0,0211;;
-48,4848;-42,4848;0,0;-42,5254;-0,0406;;
-47,8788;-41,8788;0,0;-41,9096;-0,0308;;
-47,2727;-41,2727;0,0;-41,3346;-0,0619;;
-46,6667;-40,6667;0,0;-40,6799;-0,0132;;
-46,0606;-40,0606;0,0;-40,0711;-0,0105;;
-45,4545;-39,4545;0,0;-39,5021;-0,0476;;
-44,8485;-38,8485;0,0;-38,8746;-0,0261;;
-44,2424;-38,2424;0,0;-38,2458;-0,0034;;
-43,6364;-37,6364;0,0;-37,6596;-0,0232;;
-43,0303;-37,0303;0,0;-37,0347;-0,0044;;
-42,4242;-36,4242;0,0;-36,4518;-0,0276;;
-41,8182;-35,8182;0,0;-35,8396;-0,0214;;
-41,2121;-35,2121;0,0;-35,2371;-0,025;;
-40,6061;-34,6061;0,0;-34,6164;-0,0103;;
-40,0;-34,0;0,0;-34,0238;-0,0238;;
-39,3939;-33,3939;0,0;-33,4068;-0,0128;;
-38,7879;-32,7879;0,0;-32,8075;-0,0196;;
-38,1818;-32,1818;0,0;-32,2036;-0,0218;;
-37,5758;-31,5758;0,0;-31,5785;-0,0027;;
-36,9697;-30,9697;0,0;-30,9765;-0,0068;;
-36,3636;-30,3636;0,0;-30,361;0,0026;;
-35,7576;-29,7576;0,0;-29,7617;-0,0042;;
-35,1515;-29,1515;0,0;-29,163;-0,0115;;
-34,5455;-28,5455;0,0;-28,5602;-0,0147;;
-33,9394;-27,9394;0,0;-27,9434;-0,004;;
-33,3333;-27,3333;0,0;-27,3429;-0,0095;;
-32,7273;-26,7273;0,0;-26,7407;-0,0134;;
-32,1212;-26,1212;0,0;-26,1292;-0,008;;
-31,5152;-25,5152;0,0;-25,5177;-0,0026;;
-30,9091;-24,9091;0,0;-24,9091;-0,0;;
-30,303;-24,303;0,0;-24,3099;-0,0068;;
-29,697;-23,697;0,0;-23,7045;-0,0075;;
-29,0909;-23,0909;0,0;-23,0931;-0,0022;;
-28,4848;-22,4848;0,0;-22,49;-0,0052;;
-27,8788;-21,8788;0,0;-21,8832;-0,0044;;
-27,2727;-21,2727;0,0;-21,2761;-0,0033;;
-26,6667;-20,6667;0,0;-20,6713;-0,0046;;
-26,0606;-20,0606;0,0;-20,0657;-0,0051;;
-25,4545;-19,4545;0,0;-19,4572;-0,0027;;
-24,8485;-18,8485;0,0;-18,849;-0,0005;;
-24,2424;-18,2424;0,0;-18,2458;-0,0034;;
-23,6364;-17,6364;0,0;-17,6394;-0,003;;
-23,0303;-17,0303;0,0;-17,0328;-0,0025;;
-22,4242;-16,4242;0,0;-16,4272;-0,0029;;
-21,8182;-15,8182;0,0;-15,8216;-0,0034;;
-21,2121;-15,2121;0,0;-15,2141;-0,002;;
-20,6061;-14,6061;0,0;-14,6078;-0,0018;;
-20,0;-14,0;0,0;-14,0025;-0,0025;;
-19,3939;-13,8445;-0,4505;-13,8445;-0,4505;;
-18,7879;-13,6807;-0,8929;-13,6854;-0,8975;;
-18,1818;-13,5085;-1,3267;-13,6025;-1,4207;;
-17,5758;-13,3276;-1,7519;-13,3277;-1,752;;
-16,9697;-13,1377;-2,168;-13,138;-2,1683;;
-16,3636;-12,9386;-2,575;-12,9382;-2,5746;;
-15,7576;-12,73;-2,9725;-12,7303;-2,9727;;
-15,1515;-12,5118;-3,3603;-12,5115;-3,36;;
-14,5455;-12,2838;-3,7384;-12,2839;-3,7385;;
-13,9394;-12,0458;-4,1064;-12,0462;-4,1068;;
-13,3333;-11,7976;-4,4642;-11,7984;-4,465;;
-12,7273;-11,5391;-4,8118;-11,5494;-4,8221;;
