Input_dB;Output_dB;Gain_Reduction_dB
-59,3939;-54,4609;-0,067
-58,7879;-53,9179;-0,13
-58,1818;-53,2836;-0,1017
-57,5758;-52,6925;-0,1167
-56,9697;-52,0325;-0,0628
-56,3636;-51,5183;-0,1547
-55,7576;-50,8462;-0,0886
-55,1515;-50,2223;-0,0708
-54,5455;-49,6403;-0,0948
-53,9394;-49,0196;-0,0802
-53,3333;-48,4403;-0,107
-52,7273;-47,8317;-0,1044
-52,1212;-47,1415;-0,0203
-51,5152;-46,5021;0,0131
-50,9091;-45,9591;-0,05
-50,303;-45,3003;0,0027
-49,697;-44,7337;-0,0367
-49,0909;-44,0737;0,0173
-48,4848;-43,4999;-0,015
-47,8788;-42,8874;-0,0086
-47,2727;-42,3153;-0,0425
-46,6667;-41,6815;-0,0148
-46,0606;-41,0608;-0,0002
-45,4545;-40,5096;-0,055
-44,8485;-39,8598;-0,0114
-44,2424;-39,2554;-0,0129
-43,6364;-38,6675;-0,0311
-43,0303;-38,0319;-0,0016
-42,4242;-37,4594;-0,0352
-41,8182;-36,8483;-0,0301
-41,2121;-36,2429;-0,0308
-40,6061;-35,6287;-0,0227
-40,0;-35,0252;-0,0252
-39,3939;-34,405;-0,0111
-38,7879;-33,8002;-0,0123
-38,1818;-33,1984;-0,0165
-37,5758;-32,5789;-0,0032
-36,9697;-31,9797;-0,01
-36,3636;-31,3601;0,0036
-35,7576;-30,7543;0,0033
-35,1515;-30,1623;-0,0108
-34,5455;-29,5602;-0,0147
-33,9394;-28,945;-0,0056
-33,3333;-28,3428;-0,0094
-32,7273;-27,7407;-0,0135
-32,1212;-27,1294;-0,0082
-31,5152;-26,5189;-0,0038
-30,9091;-25,9118;-0,0027
-30,303;-25,3101;-0,0071
-29,697;-24,7063;-0,0093
-29,0909;-24,0949;-0,004
-28,4848;-23,488;-0,0031
-27,8788;-22,8837;-0,0049
-27,2727;-22,2738;-0,0011
-26,6667;-21,6718;-0,0051
-26,0606;-21,0638;-0,0032
-25,4545;-20,4591;-0,0046
-24,8485;-19,8494;-0,0009
-24,2424;-19,2456;-0,0032
-23,6364;-18,6402;-0,0039
-23,0303;-18,0319;-0,0016
-22,4242;-17,4259;-0,0016
-21,8182;-16,8207;-0,0025
-21,2121;-16,2154;-0,0033
-20,6061;-15,6079;-0,0019
-20,0;-15,0013;-0,0013
-19,3939;-14,8447;-0,4508
-18,7879;-14,6851;-0,8972
-18,1818;-14,6036;-1,4217
-17,5758;-14,3274;-1,7517
-16,9697;-14,1378;-2,1681
-16,3636;-13,9389;-2,5753
-15,7576;-13,7304;-2,9728
-15,1515;-13,5116;-3,3601
-14,5455;-13,2836;-3,7381
-13,9394;-13,0458;-4,1065
-13,3333;-12,7982;-4,4649
-12,7273;-12,5485;-4,8212
-12,1212;-12,3628;-5,2416
-11,5152;-11,9912;-5,4761
-10,9091;-11,701;-5,7919
-10,303;-11,4003;-6,0973
-9,697;-11,0898;-6,3928
-9,0909;-10,768;-6,6771
-8,4848;-10,4365;-6,9516
-7,8788;-10,0934;-7,2146
-7,2727;-9,7414;-7,4686
-6,6667;-9,3866;-7,72
-6,0606;-9,094;-8,0334
-5,4545;-8,6215;-8,167
-4,8485;-8,2286;-8,3801
-4,2424;-7,8265;-8,5841
-3,6364;-7,4148;-8,7784
-3,0303;-6,9938;-8,9635
-2,4242;-6,564;-9,1397
-1,8182;-6,1259;-9,3078
-1,2121;-5,6804;-9,4682
-0,6061;-5,2337;-9,6277
0,0;-4,8496;-9,8496
