Input_dB;Output_dB;Gain_Reduction_dB
-59,3939;-53,4068;-1,0128
-58,7879;-52,9241;-1,1362
-58,1818;-52,2469;-1,0651
-57,5758;-51,6188;-1,043
-56,9697;-51,033;-1,0633
-56,3636;-50,4842;-1,1206
-55,7576;-49,8026;-1,045
-55,1515;-49,1706;-1,0191
-54,5455;-48,5815;-1,0361
-53,9394;-48,0299;-1,0905
-53,3333;-47,3862;-1,0528
-52,7273;-46,7869;-1,0596
-52,1212;-46,1184;-0,9972
-51,5152;-45,4977;-0,9826
-50,9091;-44,9185;-1,0094
-50,303;-44,2881;-0,9851
-49,697;-43,7005;-1,0035
-49,0909;-43,0742;-0,9833
-48,4848;-42,49;-1,0052
-47,8788;-41,8767;-0,9979
-47,2727;-41,3038;-1,031
-46,6667;-40,6513;-0,9846
-46,0606;-40,0444;-0,9838
-45,4545;-39,4771;-1,0226
-44,8485;-38,8513;-1,0028
-44,2424;-38,2242;-0,9818
-43,6364;-37,6394;-1,003
-43,0303;-37,0159;-0,9856
-42,4242;-36,4342;-1,01
-41,8182;-35,8232;-1,005
-41,2121;-35,2218;-1,0096
-40,6061;-34,6021;-0,9961
-40,0;-33,9972;-0,9972
-39,3939;-33,382;-0,9881
-38,7879;-32,7844;-0,9965
-38,1818;-32,182;-1,0002
-37,5758;-31,5584;-0,9826
-36,9697;-30,9578;-0,9881
-36,3636;-30,3435;-0,9799
-35,7576;-29,7373;-0,9797
-35,1515;-29,1402;-0,9887
-34,5455;-28,5389;-0,9935
-33,9394;-27,9236;-0,9842
-33,3333;-27,3244;-0,991
-32,7273;-26,7177;-0,9904
-32,1212;-26,1077;-0,9865
-31,5152;-25,4977;-0,9826
-30,9091;-24,8905;-0,9814
-30,303;-24,2881;-0,9851
-29,697;-23,6842;-0,9873
-29,0909;-23,0742;-0,9833
-28,4848;-22,4689;-0,984
-27,8788;-21,8635;-0,9847
-27,2727;-21,2546;-0,9819
-26,6667;-20,6513;-0,9846
-26,0606;-20,0444;-0,9838
-25,4545;-19,4373;-0,9828
-24,8485;-18,8281;-0,9796
-24,2424;-18,2242;-0,9818
-23,6364;-17,6192;-0,9828
-23,0303;-17,0121;-0,9818
-22,4242;-16,4061;-0,9819
-21,8182;-15,8003;-0,9821
-21,2121;-15,1943;-0,9822
-20,6061;-14,5879;-0,9818
-20,0;-13,9813;-0,9813
-19,3939;-13,8249;-1,431
-18,7879;-13,6649;-1,8771
-18,1818;-13,5823;-2,4004
-17,5758;-13,3068;-2,7311
-16,9697;-13,1176;-3,1479
-16,3636;-12,9182;-3,5546
-15,7576;-12,7096;-3,952
-15,1515;-12,4914;-4,3399
-14,5455;-12,2632;-4,7178
-13,9394;-12,025;-5,0857
-13,3333;-11,7778;-5,4444
-12,7273;-11,5283;-5,8011
-12,1212;-11,3415;-6,2202
-11,5152;-10,97;-6,4548
-10,9091;-10,6805;-6,7714
-10,303;-10,3803;-7,0772
-9,697;-10,0689;-7,3719
-9,0909;-9,7471;-7,6562
-8,4848;-9,4156;-7,9307
-7,8788;-9,0729;-8,1941
-7,2727;-8,7208;-8,448
-6,6667;-8,3664;-8,6997
-6,0606;-8,0734;-9,0128
-5,4545;-7,601;-9,1464
-4,8485;-7,2081;-9,3596
-4,2424;-6,8055;-9,563
-3,6364;-6,3941;-9,7577
-3,0303;-5,9733;-9,943
-2,4242;-5,5433;-10,1191
-1,8182;-5,1054;-10,2872
-1,2121;-4,6595;-10,4473
-0,6061;-4,2129;-10,6068
0,0;-3,8293;-10,8293
