sep=;
DATA PERBANDINGAN MENTAH - A3;;;;
Phase;Time SW (ms);Time HW (ms);Gain SW (dB);Gain HW (dB)
ATTACK PHASE;0,0;0,0;0,0;0,0
Steady State Start;570,4375;584,10416667;-10,16278443;-10,16282023
Steady State End;750,0;750,0;-10,16378295;-10,16381799
10% Steady State;73,89583333;73,89583333;-1,0184071;-1,01800507
90% Steady State;178,8125;177,97916667;-9,14756377;-9,14808874
ATTACK TIME (sw);104,91666667;104,08333333;0,0;0,0
-----------------;;;;
RELEASE PHASE;750,0;750,0;-10,1637821;-10,16381518
Steady State Start;1056,64583333;1087,10416667;-0,02499091;-0,02492374
Steady State End;1450,0;1450,0;-4,4e-06;-0,02395633
10% Recovery;782,89583333;783,1875;-9,14704542;-9,14742449
90% Recovery;890,58333333;891,60416667;-1,01613704;-1,01601778
Release TIME (sw);107,6875;108,41666667;0,0;0,0

; ; ; ;
HASIL ANALISIS METRIK;;;;
Metrik;Nilai;;;
Attack Time Error (%);0,79428118;;;
Release Time Error (%);0,67711356;;;
SS Gain Error (dB);3,58e-05;;;
MAE (dB);0,0128438;;;
RMSE (dB);0,01712293;;;
R2 Score;0,99998688;;;
