sep=;
DATA PERBANDINGAN MENTAH - B3;;;;
Phase;Time SW (ms);Time HW (ms);Gain SW (dB);Gain HW (dB)
ATTACK PHASE;0,0;0,0;0,0;0,0
Steady State Start;435,375;441,97916667;-11,42954047;-11,42980254
Steady State End;550,0;550,0;-11,43053854;-11,43080221
10% Steady State;62,52083333;62,5;-1,14509802;-1,14328608
90% Steady State;142,70833333;142,6875;-10,28750437;-10,28794744
ATTACK TIME (sw);80,1875;80,1875;0,0;0,0
-----------------;;;;
RELEASE PHASE;550,0;550,0;-11,43053822;-11,43079975
Steady State Start;995,39583333;1025,66666667;-0,02498985;-0,02495792
Steady State End;1250,0;1250,0;-9,285e-05;-0,02395633
10% Recovery;619,3125;620,375;-10,28737853;-10,28759297
90% Recovery;824,3125;825,35416667;-1,1427311;-1,14287741
Release TIME (sw);205,0;204,97916667;0,0;0,0

; ; ; ;
HASIL ANALISIS METRIK;;;;
Metrik;Nilai;;;
Attack Time Error (%);0,0;;;
Release Time Error (%);0,0101626;;;
SS Gain Error (dB);0,00026207;;;
MAE (dB);0,01476895;;;
RMSE (dB);0,01891472;;;
R2 Score;0,99998624;;;
