sep=;
DATA PERBANDINGAN MENTAH - D3;;;;
Phase;Time SW (ms);Time HW (ms);Gain SW (dB);Gain HW (dB)
ATTACK PHASE;0,0;0,0;0,0;0,0
Steady State Start;382,39583333;390,375;-11,00319962;-11,0031406
Steady State End;550,0;550,0;-11,00419743;-11,00413944
10% Steady State;62,3125;62,3125;-1,10269817;-1,10141584
90% Steady State;137,77083333;137,77083333;-9,90412045;-9,90398463
ATTACK TIME (sw);75,45833333;75,45833333;0,0;0,0
-----------------;;;;
RELEASE PHASE;550,0;550,0;-11,00419686;-11,00414004
Steady State Start;1240,97916667;1313,95833333;-0,02499752;-0,02481223
Steady State End;1450,0;1450,0;-0,00397763;-0,02395633
10% Recovery;601,29166667;601,6875;-9,90337241;-9,90359307
90% Recovery;817,33333333;819,72916667;-1,10035842;-1,10024156
Release TIME (sw);216,04166667;218,04166667;0,0;0,0

; ; ; ;
HASIL ANALISIS METRIK;;;;
Metrik;Nilai;;;
Attack Time Error (%);0,0;;;
Release Time Error (%);0,92574735;;;
SS Gain Error (dB);5,902e-05;;;
MAE (dB);0,01538029;;;
RMSE (dB);0,01901962;;;
R2 Score;0,99998475;;;
