sep=;
DATA PERBANDINGAN MENTAH - E2;;;;
Phase;Time SW (ms);Time HW (ms);Gain SW (dB);Gain HW (dB)
ATTACK PHASE;0,0;0,0;0,0;0,0
Steady State Start;659,875;657,4375;-10,33247504;-10,33234452
Steady State End;850,0;850,0;-10,33347348;-10,33333685
10% Steady State;80,16666667;80,08333333;-1,03356032;-1,03353517
90% Steady State;256,3125;256,14583333;-9,30033013;-9,30013434
ATTACK TIME (sw);176,14583333;176,0625;0,0;0,0
-----------------;;;;
RELEASE PHASE;850,0;850,0;-10,33347322;-10,33334119
Steady State Start;1158,72916667;1189,10416667;-0,02499381;-0,02492374
Steady State End;1550,0;1550,0;-4,61e-06;-0,02395633
10% Recovery;883,5625;883,95833333;-9,2989533;-9,29917275
90% Recovery;991,95833333;993,02083333;-1,03318871;-1,03290305
Release TIME (sw);108,39583333;109,0625;0,0;0,0

; ; ; ;
HASIL ANALISIS METRIK;;;;
Metrik;Nilai;;;
Attack Time Error (%);0,04730928;;;
Release Time Error (%);0,61502979;;;
SS Gain Error (dB);0,00013052;;;
MAE (dB);0,01176092;;;
RMSE (dB);0,01630207;;;
R2 Score;0,99998808;;;
