sep=;
DATA PERBANDINGAN MENTAH - F1;;;;
Phase;Time SW (ms);Time HW (ms);Gain SW (dB);Gain HW (dB)
ATTACK PHASE;0,0;0,0;0,0;0,0
Steady State Start;268,47916667;267,41666667;-9,8612739;-9,86107049
Steady State End;550,0;550,0;-9,86226909;-9,86206913
10% Steady State;61,79166667;61,77083333;-0,98863375;-0,98788037
90% Steady State;129,66666667;129,54166667;-8,87682097;-8,876029
ATTACK TIME (sw);67,875;67,77083333;0,0;0,0
-----------------;;;;
RELEASE PHASE;550,0;550,0;-9,8622684;-9,86206519
Steady State Start;625,77083333;634,97916667;-0,02496302;-0,02489569
Steady State End;1250,0;1250,0;0,0;-0,02395633
10% Recovery;557,95833333;557,875;-8,87365153;-8,87309512
90% Recovery;584,58333333;584,95833333;-0,98438508;-0,98396529
Release TIME (sw);26,625;27,08333333;0,0;0,0

; ; ; ;
HASIL ANALISIS METRIK;;;;
Metrik;Nilai;;;
Attack Time Error (%);0,15346839;;;
Release Time Error (%);1,72143974;;;
SS Gain Error (dB);0,00020341;;;
MAE (dB);0,0152786;;;
RMSE (dB);0,01957489;;;
R2 Score;0,99998205;;;
