sep=;
DATA PERBANDINGAN MENTAH - G1;;;;
Phase;Time SW (ms);Time HW (ms);Gain SW (dB);Gain HW (dB)
ATTACK PHASE;0,0;0,0;0,0;0,0
Steady State Start;304,9375;304,4375;-10,52188371;-10,52181279
Steady State End;550,0;550,0;-10,52288282;-10,52280589
10% Steady State;62,08333333;62,04166667;-1,05416369;-1,05348595
90% Steady State;133,72916667;133,66666667;-9,47114497;-9,47063834
ATTACK TIME (sw);71,64583333;71,625;0,0;0,0
-----------------;;;;
RELEASE PHASE;550,0;550,0;-10,52288116;-10,52280751
Steady State Start;705,54166667;721,60416667;-0,02498393;-0,02492374
Steady State End;1050,0;1050,0;-1e-08;-0,02395633
10% Recovery;567,14583333;567,1875;-9,4686183;-9,46865166
90% Recovery;621,77083333;622,3125;-1,05150809;-1,05177538
Release TIME (sw);54,625;55,125;0,0;0,0

; ; ; ;
HASIL ANALISIS METRIK;;;;
Metrik;Nilai;;;
Attack Time Error (%);0,02907822;;;
Release Time Error (%);0,91533181;;;
SS Gain Error (dB);7,092e-05;;;
MAE (dB);0,01224785;;;
RMSE (dB);0,01686964;;;
R2 Score;0,99998844;;;
