Input_dB;Output_dB_SW;Gain_Reduction_dB_SW;Output_dB_HW;Gain_Reduction_dB_HW;Metrik Analisis;Nilai
-59,3939;-52,3939;0,0;-53,4068;-1,0128;Avg Error Output (dB);0,999487
-58,7879;-51,7879;0,0;-52,9241;-1,1362;Max Error Output (dB);1,1362
-58,1818;-51,1818;0,0;-52,2469;-1,0651;MAE Output (dB);0,999487
-57,5758;-50,5758;0,0;-51,6188;-1,043;RMSE Output (dB);1,000013
-56,9697;-49,9697;0,0;-51,033;-1,0633;R2 Score Output;0,99546864
-56,3636;-49,3636;0,0;-50,4842;-1,1206;Avg Error GR (dB);0,99948
-55,7576;-48,7576;0,0;-49,8026;-1,045;Max Error GR (dB);1,1362
-55,1515;-48,1515;0,0;-49,1706;-1,0191;;
-54,5455;-47,5455;0,0;-48,5815;-1,0361;;
-53,9394;-46,9394;0,0;-48,0299;-1,0905;;
-53,3333;-46,3333;0,0;-47,3862;-1,0528;;
-52,7273;-45,7273;0,0;-46,7869;-1,0596;;
-52,1212;-45,1212;0,0;-46,1184;-0,9972;;
-51,5152;-44,5152;0,0;-45,4977;-0,9826;;
-50,9091;-43,9091;0,0;-44,9185;-1,0094;;
-50,303;-43,303;0,0;-44,2881;-0,9851;;
-49,697;-42,697;0,0;-43,7005;-1,0035;;
-49,0909;-42,0909;0,0;-43,0742;-0,9833;;
-48,4848;-41,4848;0,0;-42,49;-1,0052;;
-47,8788;-40,8788;0,0;-41,8767;-0,9979;;
-47,2727;-40,2727;0,0;-41,3038;-1,031;;
-46,6667;-39,6667;0,0;-40,6513;-0,9846;;
-46,0606;-39,0606;0,0;-40,0444;-0,9838;;
-45,4545;-38,4545;0,0;-39,4771;-1,0226;;
-44,8485;-37,8485;0,0;-38,8513;-1,0028;;
-44,2424;-37,2424;0,0;-38,2242;-0,9818;;
-43,6364;-36,6364;0,0;-37,6394;-1,003;;
-43,0303;-36,0303;0,0;-37,0159;-0,9856;;
-42,4242;-35,4242;0,0;-36,4342;-1,01;;
-41,8182;-34,8182;0,0;-35,8232;-1,005;;
-41,2121;-34,2121;0,0;-35,2218;-1,0096;;
-40,6061;-33,6061;0,0;-34,6021;-0,9961;;
-40,0;-33,0;0,0;-33,9972;-0,9972;;
-39,3939;-32,3939;0,0;-33,382;-0,9881;;
-38,7879;-31,7879;0,0;-32,7844;-0,9965;;
-38,1818;-31,1818;0,0;-32,182;-1,0002;;
