Input_dB;Output_dB;Gain_Reduction_dB
-59,3939;-59,3939;0,0
-58,7879;-58,7879;0,0
-58,1818;-58,1818;0,0
-57,5758;-57,5758;0,0
-56,9697;-56,9697;0,0
-56,3636;-56,3636;0,0
-55,7576;-55,7576;0,0
-55,1515;-55,1515;0,0
-54,5455;-54,5455;0,0
-53,9394;-53,9394;0,0
-53,3333;-53,3333;0,0
-52,7273;-52,7273;0,0
-52,1212;-52,1212;0,0
-51,5152;-51,5152;0,0
-50,9091;-50,9091;0,0
-50,303;-50,303;0,0
-49,697;-49,697;0,0
-49,0909;-49,0909;0,0
-48,4848;-48,4848;0,0
-47,8788;-47,8788;0,0
-47,2727;-47,2727;0,0
-46,6667;-46,6667;0,0
-46,0606;-46,0606;0,0
-45,4545;-45,4545;0,0
-44,8485;-44,8485;0,0
-44,2424;-44,2424;0,0
-43,6364;-43,6364;0,0
-43,0303;-43,0303;0,0
-42,4242;-42,4242;0,0
-41,8182;-41,8182;0,0
-41,2121;-41,2121;0,0
-40,6061;-40,6061;0,0
-40,0;-40,0;0,0
-39,3939;-39,8445;-0,4505
-38,7879;-39,6807;-0,8929
-38,1818;-39,5085;-1,3267
-37,5758;-39,3276;-1,7519
-36,9697;-39,1377;-2,168
-36,3636;-38,9386;-2,575
-35,7576;-38,73;-2,9725
-35,1515;-38,5118;-3,3603
-34,5455;-38,2838;-3,7384
-33,9394;-38,0458;-4,1064
-33,3333;-37,7976;-4,4642
-32,7273;-37,5391;-4,8118
-32,1212;-37,2702;-5,149
-31,5152;-36,9909;-5,4757
-30,9091;-36,701;-5,7919
-30,303;-36,4006;-6,0975
-29,697;-36,0895;-6,3926
-29,0909;-35,768;-6,6771
-28,4848;-35,4359;-6,9511
-27,8788;-35,0934;-7,2146
-27,2727;-34,7406;-7,4679
-26,6667;-34,3775;-7,7109
-26,0606;-34,0044;-7,9438
-25,4545;-33,6213;-8,1668
-24,8485;-33,2285;-8,38
-24,2424;-32,8262;-8,5837
-23,6364;-32,4145;-8,7781
-23,0303;-31,9937;-8,9634
-22,4242;-31,5641;-9,1399
-21,8182;-31,1259;-9,3077
-21,2121;-30,6793;-9,4672
-20,6061;-30,2247;-9,6187
-20,0;-29,7623;-9,7623
-19,3939;-29,2924;-9,8985
-18,7879;-28,8153;-10,0274
-18,1818;-28,3312;-10,1494
-17,5758;-27,8405;-10,2647
-16,9697;-27,3434;-10,3737
-16,3636;-26,8402;-10,4766
-15,7576;-26,3312;-10,5736
-15,1515;-25,8166;-10,6651
-14,5455;-25,2967;-10,7513
-13,9394;-24,7718;-10,8325
-13,3333;-24,2422;-10,9088
-12,7273;-23,708;-10,9807
-12,1212;-23,1694;-11,0482
-11,5152;-22,6269;-11,1117
-10,9091;-22,0804;-11,1713
-10,303;-21,5303;-11,2273
-9,697;-20,9768;-11,2798
-9,0909;-20,42;-11,3291
-8,4848;-19,8601;-11,3753
-7,8788;-19,2974;-11,4186
-7,2727;-18,7319;-11,4592
-6,6667;-18,1639;-11,4972
-6,0606;-17,5934;-11,5328
-5,4545;-17,0207;-11,5662
-4,8485;-16,4459;-11,5974
-4,2424;-15,869;-11,6266
-3,6364;-15,2903;-11,6539
-3,0303;-14,7098;-11,6795
-2,4242;-14,1276;-11,7034
-1,8182;-13,5439;-11,7257
-1,2121;-12,9588;-11,7467
-0,6061;-12,3723;-11,7662
0,0;-11,7845;-11,7845
