Input_dB;Output_dB;Gain_Reduction_dB
-59,3939;-59,3939;0,0
-58,7879;-58,7879;0,0
-58,1818;-58,1818;0,0
-57,5758;-57,5758;0,0
-56,9697;-56,9697;0,0
-56,3636;-56,3636;0,0
-55,7576;-55,7576;0,0
-55,1515;-55,1515;0,0
-54,5455;-54,5455;0,0
-53,9394;-53,9394;0,0
-53,3333;-53,3333;0,0
-52,7273;-52,7273;0,0
-52,1212;-52,1212;0,0
-51,5152;-51,5152;0,0
-50,9091;-50,9091;0,0
-50,303;-50,303;0,0
-49,697;-49,697;0,0
-49,0909;-49,0909;0,0
-48,4848;-48,4848;0,0
-47,8788;-47,8788;0,0
-47,2727;-47,2727;0,0
-46,6667;-46,6667;0,0
-46,0606;-46,0606;0,0
-45,4545;-45,4545;0,0
-44,8485;-44,8485;0,0
-44,2424;-44,2424;0,0
-43,6364;-43,6364;0,0
-43,0303;-43,0303;0,0
-42,4242;-42,4242;0,0
-41,8182;-41,8182;0,0
-41,2121;-41,2121;0,0
-40,6061;-40,6061;0,0
-40,0;-40,0;0,0
-39,3939;-39,3939;0,0
-38,7879;-38,7879;0,0
-38,1818;-38,1818;0,0
-37,5758;-37,5758;0,0
-36,9697;-36,9697;0,0
-36,3636;-36,3636;0,0
-35,7576;-35,7576;0,0
-35,1515;-35,1515;0,0
-34,5455;-34,5455;0,0
-33,9394;-33,9394;0,0
-33,3333;-33,3333;0,0
-32,7273;-32,7273;0,0
-32,1212;-32,1212;0,0
-31,5152;-31,5152;0,0
-30,9091;-30,9091;0,0
-30,303;-30,303;0,0
-29,697;-29,697;0,0
-29,0909;-29,0909;0,0
-28,4848;-28,4848;0,0
-27,8788;-27,8788;0,0
-27,2727;-27,2727;0,0
-26,6667;-26,6667;0,0
-26,0606;-26,0606;0,0
-25,4545;-25,4545;0,0
-24,8485;-24,8485;0,0
-24,2424;-24,2424;0,0
-23,6364;-23,6364;0,0
-23,0303;-23,0303;0,0
-22,4242;-22,4242;0,0
-21,8182;-21,8182;0,0
-21,2121;-21,2121;0,0
-20,6061;-20,6061;0,0
-20,0;-20,0;0,0
-19,3939;-19,6917;-0,2977
-18,7879;-19,3728;-0,5849
-18,1818;-19,0434;-0,8616
-17,5758;-18,7036;-1,1278
-16,9697;-18,3534;-1,3837
-16,3636;-17,9929;-1,6293
-15,7576;-17,6223;-1,8647
-15,1515;-17,2418;-2,0902
-14,5455;-16,8514;-2,306
-13,9394;-16,4515;-2,5121
-13,3333;-16,0422;-2,7088
-12,7273;-15,6237;-2,8964
-12,1212;-15,1963;-3,0751
-11,5152;-14,7603;-3,2451
-10,9091;-14,3158;-3,4067
-10,303;-13,8632;-3,5602
-9,697;-13,4028;-3,7058
-9,0909;-12,9348;-3,8439
-8,4848;-12,4595;-3,9746
-7,8788;-11,9771;-4,0983
-7,2727;-11,4881;-4,2153
-6,6667;-10,9926;-4,3259
-6,0606;-10,4909;-4,4303
-5,4545;-9,9833;-4,5288
-4,8485;-9,4702;-4,6217
-4,2424;-8,9516;-4,7092
-3,6364;-8,428;-4,7916
-3,0303;-7,8995;-4,8692
-2,4242;-7,3664;-4,9422
-1,8182;-6,829;-5,0108
-1,2121;-6,2874;-5,0753
-0,6061;-5,7419;-5,1359
0,0;-5,1927;-5,1927
