Input_dB;Output_dB;Gain_Reduction_dB
-59,3939;-55,3939;0,0
-58,7879;-54,7879;0,0
-58,1818;-54,1818;0,0
-57,5758;-53,5758;0,0
-56,9697;-52,9697;0,0
-56,3636;-52,3636;0,0
-55,7576;-51,7576;0,0
-55,1515;-51,1515;0,0
-54,5455;-50,5455;0,0
-53,9394;-49,9394;0,0
-53,3333;-49,3333;0,0
-52,7273;-48,7273;0,0
-52,1212;-48,1212;0,0
-51,5152;-47,5152;0,0
-50,9091;-46,9091;0,0
-50,303;-46,303;0,0
-49,697;-45,697;0,0
-49,0909;-45,0909;0,0
-48,4848;-44,4848;0,0
-47,8788;-43,8788;0,0
-47,2727;-43,2727;0,0
-46,6667;-42,6667;0,0
-46,0606;-42,0606;0,0
-45,4545;-41,4545;0,0
-44,8485;-40,8485;0,0
-44,2424;-40,2424;0,0
-43,6364;-39,6364;0,0
-43,0303;-39,0303;0,0
-42,4242;-38,4242;0,0
-41,8182;-37,8182;0,0
-41,2121;-37,2121;0,0
-40,6061;-36,6061;0,0
-40,0;-36,0;0,0
-39,3939;-35,3939;0,0
-38,7879;-34,7879;0,0
-38,1818;-34,1818;0,0
-37,5758;-33,5758;0,0
-36,9697;-32,9697;0,0
-36,3636;-32,3636;0,0
-35,7576;-31,7576;0,0
-35,1515;-31,1515;0,0
-34,5455;-30,5455;0,0
-33,9394;-29,9394;0,0
-33,3333;-29,3333;0,0
-32,7273;-28,7273;0,0
-32,1212;-28,1212;0,0
-31,5152;-27,5152;0,0
-30,9091;-26,9091;0,0
-30,303;-26,303;0,0
-29,697;-25,697;0,0
-29,0909;-25,0909;0,0
-28,4848;-24,4848;0,0
-27,8788;-23,8788;0,0
-27,2727;-23,2727;0,0
-26,6667;-22,6667;0,0
-26,0606;-22,0606;0,0
-25,4545;-21,4545;0,0
-24,8485;-20,8485;0,0
-24,2424;-20,2424;0,0
-23,6364;-19,6364;0,0
-23,0303;-19,0303;0,0
-22,4242;-18,4242;0,0
-21,8182;-17,8182;0,0
-21,2121;-17,2121;0,0
-20,6061;-16,6061;0,0
-20,0;-16,0;0,0
-19,3939;-15,8445;-0,4505
-18,7879;-15,6807;-0,8929
-18,1818;-15,5085;-1,3267
-17,5758;-15,3276;-1,7519
-16,9697;-15,1377;-2,168
-16,3636;-14,9386;-2,575
-15,7576;-14,73;-2,9725
-15,1515;-14,5118;-3,3603
-14,5455;-14,2838;-3,7384
-13,9394;-14,0458;-4,1064
-13,3333;-13,7976;-4,4642
-12,7273;-13,5391;-4,8118
-12,1212;-13,2702;-5,149
-11,5152;-12,9909;-5,4757
-10,9091;-12,701;-5,7919
-10,303;-12,4006;-6,0975
-9,697;-12,0895;-6,3926
-9,0909;-11,768;-6,6771
-8,4848;-11,4359;-6,9511
-7,8788;-11,0934;-7,2146
-7,2727;-10,7406;-7,4679
-6,6667;-10,3775;-7,7109
-6,0606;-10,0044;-7,9438
-5,4545;-9,6213;-8,1668
-4,8485;-9,2285;-8,38
-4,2424;-8,8262;-8,5837
-3,6364;-8,4145;-8,7781
-3,0303;-7,9937;-8,9634
-2,4242;-7,5641;-9,1399
-1,8182;-7,1259;-9,3077
-1,2121;-6,6793;-9,4672
-0,6061;-6,2247;-9,6187
0,0;-5,7623;-9,7623
