Input_dB;Output_dB;Gain_Reduction_dB
-59,3939;-59,3939;0,0
-58,7879;-58,7879;0,0
-58,1818;-58,1818;0,0
-57,5758;-57,5758;0,0
-56,9697;-56,9697;0,0
-56,3636;-56,3636;0,0
-55,7576;-55,7576;0,0
-55,1515;-55,1515;0,0
-54,5455;-54,5455;0,0
-53,9394;-53,9394;0,0
-53,3333;-53,3333;0,0
-52,7273;-52,7273;0,0
-52,1212;-52,1212;0,0
-51,5152;-51,5152;0,0
-50,9091;-50,9091;0,0
-50,303;-50,303;0,0
-49,697;-49,697;0,0
-49,0909;-49,0909;0,0
-48,4848;-48,4848;0,0
-47,8788;-47,8788;0,0
-47,2727;-47,2727;0,0
-46,6667;-46,6667;0,0
-46,0606;-46,0606;0,0
-45,4545;-45,4545;0,0
-44,8485;-44,8485;0,0
-44,2424;-44,2424;0,0
-43,6364;-43,6364;0,0
-43,0303;-43,0303;0,0
-42,4242;-42,4242;0,0
-41,8182;-41,8182;0,0
-41,2121;-41,2121;0,0
-40,6061;-40,6061;0,0
-40,0;-40,0;0,0
-39,3939;-39,3939;0,0
-38,7879;-38,7879;0,0
-38,1818;-38,1818;0,0
-37,5758;-37,5758;0,0
-36,9697;-36,9697;0,0
-36,3636;-36,3636;0,0
-35,7576;-35,7576;0,0
-35,1515;-35,1515;0,0
-34,5455;-34,5455;0,0
-33,9394;-33,9394;0,0
-33,3333;-33,3333;0,0
-32,7273;-32,7273;0,0
-32,1212;-32,1212;0,0
-31,5152;-31,5152;0,0
-30,9091;-30,9091;0,0
-30,303;-30,303;0,0
-29,697;-29,697;0,0
-29,0909;-29,0909;0,0
-28,4848;-28,4848;0,0
-27,8788;-27,8788;0,0
-27,2727;-27,2727;0,0
-26,6667;-26,6667;0,0
-26,0606;-26,0606;0,0
-25,4545;-25,4545;0,0
-24,8485;-24,8485;0,0
-24,2424;-24,2424;0,0
-23,6364;-23,6364;0,0
-23,0303;-23,0303;0,0
-22,4242;-22,4242;0,0
-21,8182;-21,8182;0,0
-21,2121;-21,2121;0,0
-20,6061;-20,6061;0,0
-20,0;-20,0;0,0
-19,3939;-19,8445;-0,4505
-18,7879;-19,6807;-0,8929
-18,1818;-19,5085;-1,3267
-17,5758;-19,3276;-1,7519
-16,9697;-19,1377;-2,168
-16,3636;-18,9386;-2,575
-15,7576;-18,73;-2,9725
-15,1515;-18,5118;-3,3603
-14,5455;-18,2838;-3,7384
-13,9394;-18,0458;-4,1064
-13,3333;-17,7976;-4,4642
-12,7273;-17,5391;-4,8118
-12,1212;-17,2702;-5,149
-11,5152;-16,9909;-5,4757
-10,9091;-16,701;-5,7919
-10,303;-16,4006;-6,0975
-9,697;-16,0895;-6,3926
-9,0909;-15,768;-6,6771
-8,4848;-15,4359;-6,9511
-7,8788;-15,0934;-7,2146
-7,2727;-14,7406;-7,4679
-6,6667;-14,3775;-7,7109
-6,0606;-14,0044;-7,9438
-5,4545;-13,6213;-8,1668
-4,8485;-13,2285;-8,38
-4,2424;-12,8262;-8,5837
-3,6364;-12,4145;-8,7781
-3,0303;-11,9937;-8,9634
-2,4242;-11,5641;-9,1399
-1,8182;-11,1259;-9,3077
-1,2121;-10,6793;-9,4672
-0,6061;-10,2247;-9,6187
0,0;-9,7623;-9,7623
