Input_dB;Output_dB;Gain_Reduction_dB
-59,3939;-59,3939;0,0
-58,7879;-58,7879;0,0
-58,1818;-58,1818;0,0
-57,5758;-57,5758;0,0
-56,9697;-56,9697;0,0
-56,3636;-56,3636;0,0
-55,7576;-55,7576;0,0
-55,1515;-55,1515;0,0
-54,5455;-54,5455;0,0
-53,9394;-53,9394;0,0
-53,3333;-53,3333;0,0
-52,7273;-52,7273;0,0
-52,1212;-52,1212;0,0
-51,5152;-51,5152;0,0
-50,9091;-50,9091;0,0
-50,303;-50,303;0,0
-49,697;-49,697;0,0
-49,0909;-49,0909;0,0
-48,4848;-48,4848;0,0
-47,8788;-47,8788;0,0
-47,2727;-47,2727;0,0
-46,6667;-46,6667;0,0
-46,0606;-46,0606;0,0
-45,4545;-45,4545;0,0
-44,8485;-44,8485;0,0
-44,2424;-44,2424;0,0
-43,6364;-43,6364;0,0
-43,0303;-43,0303;0,0
-42,4242;-42,4242;0,0
-41,8182;-41,8182;0,0
-41,2121;-41,2121;0,0
-40,6061;-40,6061;0,0
-40,0;-40,0;0,0
-39,3939;-39,3939;0,0
-38,7879;-38,7879;0,0
-38,1818;-38,1818;0,0
-37,5758;-37,5758;0,0
-36,9697;-36,9697;0,0
-36,3636;-36,3636;0,0
-35,7576;-35,7576;0,0
-35,1515;-35,1515;0,0
-34,5455;-34,5455;0,0
-33,9394;-33,9394;0,0
-33,3333;-33,3333;0,0
-32,7273;-32,7273;0,0
-32,1212;-32,1212;0,0
-31,5152;-31,5152;0,0
-30,9091;-30,9091;0,0
-30,303;-30,303;0,0
-29,697;-29,697;0,0
-29,0909;-29,0909;0,0
-28,4848;-28,4848;0,0
-27,8788;-27,8788;0,0
-27,2727;-27,2727;0,0
-26,6667;-26,6667;0,0
-26,0606;-26,0606;0,0
-25,4545;-25,4545;0,0
-24,8485;-24,8485;0,0
-24,2424;-24,2424;0,0
-23,6364;-23,6364;0,0
-23,0303;-23,0303;0,0
-22,4242;-22,4242;0,0
-21,8182;-21,8182;0,0
-21,2121;-21,2121;0,0
-20,6061;-20,6061;0,0
-20,0;-20,0;0,0
-19,3939;-19,896;-0,5021
-18,7879;-19,7859;-0,998
-18,1818;-19,6693;-1,4875
-17,5758;-19,546;-1,9703
-16,9697;-19,4157;-2,446
-16,3636;-19,2782;-2,9146
-15,7576;-19,1331;-3,3755
-15,1515;-18,9801;-3,8286
-14,5455;-18,8191;-4,2736
-13,9394;-18,6496;-4,7102
-13,3333;-18,4715;-5,1382
-12,7273;-18,2845;-5,5573
-12,1212;-18,0884;-5,9672
-11,5152;-17,8829;-6,3677
-10,9091;-17,6678;-6,7587
-10,303;-17,4429;-7,1399
-9,697;-17,2081;-7,5112
-9,0909;-16,9632;-7,8723
-8,4848;-16,7081;-8,2232
-7,8788;-16,4425;-8,5637
-7,2727;-16,1665;-8,8938
-6,6667;-15,8801;-9,2134
-6,0606;-15,583;-9,5224
-5,4545;-15,2754;-9,8208
-4,8485;-14,9572;-10,1087
-4,2424;-14,6285;-10,3861
-3,6364;-14,2894;-10,653
-3,0303;-13,9398;-10,9095
-2,4242;-13,58;-11,1558
-1,8182;-13,2101;-11,3919
-1,2121;-12,8302;-11,6181
-0,6061;-12,4405;-11,8344
0,0;-12,0412;-12,0412
