Input_dB;Output_dB;Gain_Reduction_dB
-59,3939;-53,3939;0,0
-58,7879;-52,7879;0,0
-58,1818;-52,1818;0,0
-57,5758;-51,5758;0,0
-56,9697;-50,9697;0,0
-56,3636;-50,3636;0,0
-55,7576;-49,7576;0,0
-55,1515;-49,1515;0,0
-54,5455;-48,5455;0,0
-53,9394;-47,9394;0,0
-53,3333;-47,3333;0,0
-52,7273;-46,7273;0,0
-52,1212;-46,1212;0,0
-51,5152;-45,5152;0,0
-50,9091;-44,9091;0,0
-50,303;-44,303;0,0
-49,697;-43,697;0,0
-49,0909;-43,0909;0,0
-48,4848;-42,4848;0,0
-47,8788;-41,8788;0,0
-47,2727;-41,2727;0,0
-46,6667;-40,6667;0,0
-46,0606;-40,0606;0,0
-45,4545;-39,4545;0,0
-44,8485;-38,8485;0,0
-44,2424;-38,2424;0,0
-43,6364;-37,6364;0,0
-43,0303;-37,0303;0,0
-42,4242;-36,4242;0,0
-41,8182;-35,8182;0,0
-41,2121;-35,2121;0,0
-40,6061;-34,6061;0,0
-40,0;-34,0;0,0
-39,3939;-33,3939;0,0
-38,7879;-32,7879;0,0
-38,1818;-32,1818;0,0
-37,5758;-31,5758;0,0
-36,9697;-30,9697;0,0
-36,3636;-30,3636;0,0
-35,7576;-29,7576;0,0
-35,1515;-29,1515;0,0
-34,5455;-28,5455;0,0
-33,9394;-27,9394;0,0
-33,3333;-27,3333;0,0
-32,7273;-26,7273;0,0
-32,1212;-26,1212;0,0
-31,5152;-25,5152;0,0
-30,9091;-24,9091;0,0
-30,303;-24,303;0,0
-29,697;-23,697;0,0
-29,0909;-23,0909;0,0
-28,4848;-22,4848;0,0
-27,8788;-21,8788;0,0
-27,2727;-21,2727;0,0
-26,6667;-20,6667;0,0
-26,0606;-20,0606;0,0
-25,4545;-19,4545;0,0
-24,8485;-18,8485;0,0
-24,2424;-18,2424;0,0
-23,6364;-17,6364;0,0
-23,0303;-17,0303;0,0
-22,4242;-16,4242;0,0
-21,8182;-15,8182;0,0
-21,2121;-15,2121;0,0
-20,6061;-14,6061;0,0
-20,0;-14,0;0,0
-19,3939;-13,8445;-0,4505
-18,7879;-13,6807;-0,8929
-18,1818;-13,5085;-1,3267
-17,5758;-13,3276;-1,7519
-16,9697;-13,1377;-2,168
-16,3636;-12,9386;-2,575
-15,7576;-12,73;-2,9725
-15,1515;-12,5118;-3,3603
-14,5455;-12,2838;-3,7384
-13,9394;-12,0458;-4,1064
-13,3333;-11,7976;-4,4642
-12,7273;-11,5391;-4,8118
-12,1212;-11,2702;-5,149
-11,5152;-10,9909;-5,4757
-10,9091;-10,701;-5,7919
-10,303;-10,4006;-6,0975
-9,697;-10,0895;-6,3926
-9,0909;-9,768;-6,6771
-8,4848;-9,4359;-6,9511
-7,8788;-9,0934;-7,2146
-7,2727;-8,7406;-7,4679
-6,6667;-8,3775;-7,7109
-6,0606;-8,0044;-7,9438
-5,4545;-7,6213;-8,1668
-4,8485;-7,2285;-8,38
-4,2424;-6,8262;-8,5837
-3,6364;-6,4145;-8,7781
-3,0303;-5,9937;-8,9634
-2,4242;-5,5641;-9,1399
-1,8182;-5,1259;-9,3077
-1,2121;-4,6793;-9,4672
-0,6061;-4,2247;-9,6187
0,0;-3,7623;-9,7623
